Date,RET_AAPL,RET_MSFT,RET_AMZN,RET_GOOGL,RET_META,RET_NVDA,RET_JPM,RET_V,RET_JNJ,RET_PG,RET_HD,RET_MA,RET_XOM,RET_BAC,RET_PFE,RET_KO,RET_PEP,RET_CVX,RET_MRK,RET_COST,RET_WMT,RET_DIS,Mkt-RF,RF,SMB,HML
2020-03-13,11.980812,14.216892,6.464834,9.241142,10.235003,11.340181,18.012484,9.838812,7.080740,12.009001,7.912287,11.805373,2.528248,17.796170,8.960682,3.679142,10.499384,9.388929,3.940953,8.011454,9.658817,11.665402,8.980000,0.010000,-2.690000,2.940000
2020-03-16,-12.864679,-14.739053,-5.369752,-11.634147,-14.252986,-18.452068,-14.964907,-13.547176,-5.331740,-4.882946,-19.793851,-12.725442,-9.522560,-15.397319,-7.734635,-6.622650,-11.267161,-16.446896,-8.899013,-6.315536,-6.432958,-7.325391,-12.010000,0.010000,-0.210000,-0.750000
2020-03-17,4.396995,8.233659,7.026613,4.199448,2.335449,10.626265,6.111375,3.868148,7.441221,8.976930,5.261882,0.946316,6.726604,7.534235,6.560629,4.242159,12.936617,1.420390,6.521757,8.408072,11.708527,-1.557736,5.880000,0.010000,0.850000,-0.670000
2020-03-18,-2.448005,-4.209577,1.225774,-2.403273,-1.646353,-6.650699,-10.526866,-5.959821,-1.193368,-0.668097,-10.372028,-4.182793,-10.024456,-5.414003,0.621914,-4.938556,-5.324159,-22.124774,-3.826554,0.166106,2.783815,-5.057197,-5.560000,0.010000,-3.530000,-4.740000
2020-03-19,-0.766199,1.645315,2.783061,1.876850,4.198414,5.004437,1.680784,2.539059,-5.860992,-5.636476,3.534058,-0.342193,3.955288,1.972122,-5.995076,-6.733541,-2.960621,4.250694,-1.256455,-0.741432,-2.122275,6.903149,1.310000,0.010000,5.450000,0.950000
2020-03-20,-6.348560,-3.755873,-1.852280,-3.909437,-2.220341,-3.390143,-2.110235,-3.559931,-5.635585,-7.579153,-5.573168,-6.924968,-4.908488,-7.217014,-4.635099,-8.438927,-11.428327,3.484930,0.890729,-4.848974,-4.587651,-9.427989,-4.150000,0.010000,0.350000,-0.900000
2020-03-23,-2.124393,-0.997478,3.073529,-1.318089,-1.088607,3.373008,-5.353259,-7.552975,-7.298353,-4.617797,6.730223,-3.840667,-3.940146,-8.083397,-1.792488,-1.932095,1.202727,-8.705179,-6.950678,-1.683740,0.271990,-0.255888,-2.560000,0.010000,2.210000,-3.260000
2020-03-24,10.032520,9.089548,1.958656,7.198349,8.696812,17.156423,11.894213,13.842669,7.234122,5.701129,13.750849,16.610915,12.686821,16.316389,4.247106,5.031933,8.233492,22.740709,3.990938,-0.206673,0.656264,14.412310,9.340000,0.010000,-1.280000,2.380000
2020-03-25,-0.550866,-0.957246,-2.796760,-2.512360,-2.963104,-1.428689,3.731754,4.691633,0.184593,-2.275585,-1.602438,8.187462,5.220078,0.332854,0.168341,5.475302,-1.177076,4.087126,-1.202026,-1.431868,-4.894368,2.660016,1.170000,0.010000,-0.740000,1.870000
2020-03-26,5.262307,6.255108,3.693312,5.564531,4.564355,4.730883,6.966104,4.388660,6.005010,6.401087,7.399890,2.612237,4.103012,7.677719,6.722689,6.440764,6.897777,10.264168,7.783661,4.073194,0.383924,4.596439,6.030000,0.010000,-0.710000,1.080000
2020-03-27,-4.140229,-4.106067,-2.832539,-4.528268,-4.010027,-1.753209,-7.123950,-4.334405,-2.694120,2.598270,-2.387196,-5.900873,-4.817138,-4.929574,-2.677158,-3.341629,0.166301,-9.950259,-2.447989,-2.726652,-0.218543,-8.504163,-3.480000,0.010000,-0.860000,-0.760000
2020-03-30,2.853802,7.034090,3.360355,3.247007,5.842214,5.088417,2.600717,2.482032,7.997690,4.384133,2.912611,2.261253,1.488493,2.037057,5.728146,5.115659,4.167350,4.608928,7.277306,2.388074,5.119559,3.526974,3.170000,0.010000,-0.300000,-2.110000
2020-03-31,-0.204085,-1.572761,-0.724562,1.364370,0.512194,-0.749269,-3.711232,-2.687679,-1.413396,-4.347818,-4.788358,-4.615966,1.253347,-3.675138,-0.091804,-1.666707,-4.287539,0.708833,-0.013012,-2.057569,-1.362967,-3.206433,-1.440000,0.010000,1.820000,-0.380000
2020-04-01,-5.261699,-3.550809,-2.155179,-5.150834,-4.316546,-7.788326,-6.297906,-4.971462,-1.769270,-0.609117,-4.327598,-5.361009,-1.158825,-6.877059,-2.726737,-4.813538,-1.648611,-5.382304,-4.081097,0.578694,0.457655,-1.739125,-4.500000,0.000000,-1.560000,-1.310000
2020-04-02,1.668667,2.070857,0.583421,1.354691,-0.883456,5.101427,3.733977,2.795370,3.369304,4.637354,1.500337,4.492390,7.647220,4.046552,3.527573,4.344748,4.859471,11.026870,4.159919,1.638897,3.951282,2.159718,2.100000,0.000000,-0.970000,-0.280000
2020-04-03,-1.437155,-0.921047,-0.637888,-2.178104,-2.534935,-4.524994,-2.955746,-3.519914,0.766072,0.594420,-1.439541,-0.774453,-2.945546,-2.625219,2.342553,-0.273028,0.589365,-1.326858,-0.806574,-0.970927,0.699536,-3.186552,-1.640000,0.000000,-1.090000,-1.150000
2020-04-06,8.723762,7.436800,4.772922,8.281343,7.374514,10.040583,6.436600,11.583829,4.166379,2.372254,7.067704,12.196756,3.213479,6.789808,2.764544,6.479528,5.273305,7.029693,5.324566,5.705878,5.515563,6.071579,7.100000,0.000000,0.770000,0.280000
2020-04-07,-1.158234,-1.077001,0.701346,-0.053260,1.981271,-3.491056,1.319033,-0.501667,-1.631380,-4.278084,0.501745,-2.579507,1.902643,3.506304,-2.776931,-0.342821,-0.518471,0.659297,-2.179049,-0.488319,-3.236281,1.666997,-0.110000,0.000000,-0.590000,2.100000
2020-04-08,2.559452,1.003070,1.560946,2.066696,3.228089,3.057543,4.037980,3.766544,4.204233,2.066148,1.315763,4.743278,6.328823,5.916924,2.945516,2.816586,1.632424,6.253101,3.895128,0.770644,-0.122976,-0.167921,3.420000,0.000000,0.310000,1.270000
2020-04-09,0.721625,0.006080,-0.011748,-0.035607,0.522154,-1.498364,8.971371,-0.714565,-1.417009,-0.382267,3.444208,-0.572073,-1.641962,6.012779,2.283243,2.467620,0.769199,-1.942343,1.065883,-1.947852,-0.032824,3.393701,1.590000,0.000000,1.910000,3.190000
2020-04-13,1.962733,0.224046,6.173507,0.318244,-0.228339,2.624044,-4.447260,-2.705954,-1.033758,1.125062,-1.359624,-2.249414,-0.857887,-3.781163,-0.706420,-4.224497,-2.050452,0.711658,-2.363871,-0.130035,2.873540,-0.956943,-0.920000,0.000000,-0.850000,-2.400000
2020-04-14,5.050316,4.948354,5.276945,4.529046,1.933776,5.225125,-2.739592,3.331573,4.478757,4.320832,4.215514,2.802484,-0.771741,-0.794328,3.699501,4.240343,5.737649,-0.353297,2.855668,4.846158,2.952930,2.444448,3.030000,0.000000,-0.180000,-3.150000
2020-04-15,-0.912684,-1.047769,1.066870,-0.626751,-0.673541,-1.095278,-4.931943,-4.959342,1.116248,0.214941,-4.194624,-5.016262,-4.595832,-6.489677,-1.289794,-2.677829,-2.434965,-2.505642,-0.929488,-1.231943,-0.186050,-2.508725,-2.150000,0.000000,-1.230000,-2.550000
2020-04-16,0.794559,3.002057,4.355454,0.010328,-0.406818,4.935214,-3.810997,-2.133019,1.361219,0.230995,0.690245,-4.036737,-3.285553,-3.470018,-0.250197,-1.071211,0.451721,-3.030647,1.133184,3.638748,2.772614,-1.305995,0.620000,0.000000,-0.210000,-2.980000
2020-04-17,-1.356901,0.881186,-1.378214,1.715417,1.696437,-0.807600,8.988915,4.383664,1.570122,2.625506,4.788584,5.353373,10.395902,8.683443,2.870666,2.038232,1.408151,8.976114,0.554197,-1.131975,-0.158723,4.518724,2.730000,0.000000,0.750000,2.770000
2020-04-20,-2.075648,-1.982083,0.783576,-1.395635,-0.557905,-1.802821,-3.645748,-3.137916,-0.230243,-3.280118,-1.609214,-3.169583,-4.720017,-3.350518,-2.248723,-3.183554,-2.181004,-4.129865,-0.431318,-1.836960,-1.718116,-4.098282,-1.570000,0.000000,0.780000,-0.910000
2020-04-21,-3.091050,-4.135731,-2.736033,-3.884543,-4.174162,-6.110436,-2.900428,-2.246985,-1.312052,-0.762874,-2.640137,-2.534469,-0.534256,-3.822179,-1.274952,-2.471514,-2.683027,-2.309383,-5.463304,-3.444618,-0.492868,-1.681980,-3.090000,0.000000,0.940000,0.160000
2020-04-22,2.880362,3.396500,1.519253,3.815504,6.721319,6.174161,0.325653,3.775039,2.211381,-0.233975,1.774623,4.711638,2.856459,0.739346,1.768689,0.661086,1.283032,3.429653,1.807557,2.684780,1.841952,0.447580,2.310000,0.000000,-0.680000,-1.660000
2020-04-23,-0.387537,-1.210258,1.521482,1.013979,1.563535,-0.747857,0.055957,-0.126085,1.647156,0.666911,-0.906113,-0.408676,3.133136,0.321127,1.213772,-1.335342,-1.779548,2.794883,1.125249,-1.299213,-2.325400,0.009898,0.120000,0.000000,1.110000,0.550000
2020-04-24,2.886947,1.825923,0.448851,0.427167,2.668387,1.964725,1.476653,0.564959,-0.417995,-0.519249,4.873439,1.133387,0.644424,1.417440,1.880650,0.798719,3.147536,0.241937,0.680019,1.686287,0.708013,0.188121,1.430000,0.000000,0.280000,-0.120000
